                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.98295,                 1.9145,                 1.4316,                0.55222,                0.46399,                0.48986,                 0.3321,                 1.0658,                  1.776,                 1.5088,               9.04e-05,               9.04e-05,               9.04e-05
                     34,                0.97765,                 1.9012,                 1.4239,                0.52757,                0.44846,                0.46797,                0.31429,                  1.066,                 1.8313,                 1.5048,               9.01e-05,               9.01e-05,               9.01e-05
                     35,                0.98394,                 1.9006,                 1.4279,                0.54891,                0.42948,                0.46745,                 0.3178,                 1.0799,                 1.8569,                 1.5349,               8.98e-05,               8.98e-05,               8.98e-05
                     36,                0.97919,                 1.8846,                 1.4234,                0.53129,                0.46322,                0.49311,                0.33746,                 1.0564,                 1.7899,                 1.5005,               8.95e-05,               8.95e-05,               8.95e-05
                     37,                0.96179,                 1.8721,                 1.4052,                0.52867,                0.47743,                0.49536,                0.34087,                 1.0493,                 1.7623,                  1.497,               8.92e-05,               8.92e-05,               8.92e-05
                     38,                0.97878,                  1.889,                 1.4122,                0.56907,                0.45318,                0.49837,                0.34901,                 1.0545,                 1.7376,                  1.502,               8.89e-05,               8.89e-05,               8.89e-05
                     39,                0.96083,                 1.8723,                 1.4036,                0.55487,                0.47264,                0.50077,                0.34681,                 1.0434,                  1.746,                 1.4924,               8.86e-05,               8.86e-05,               8.86e-05
                     40,                0.95101,                 1.8528,                 1.3997,                0.55405,                 0.4756,                0.50272,                0.35102,                 1.0247,                 1.7141,                 1.4699,               8.83e-05,               8.83e-05,               8.83e-05
                     41,                 0.9664,                 1.8563,                 1.3966,                0.53548,                0.45601,                0.48707,                 0.3373,                 1.0453,                 1.7785,                 1.5057,                8.8e-05,                8.8e-05,                8.8e-05
                     42,                0.96374,                 1.8456,                 1.4023,                0.59321,                0.46388,                0.51733,                0.35846,                 1.0138,                 1.7003,                 1.4568,               8.77e-05,               8.77e-05,               8.77e-05
                     43,                0.93766,                 1.8324,                 1.3976,                 0.5406,                0.49363,                0.51393,                0.36111,                 1.0203,                 1.7079,                 1.4737,               8.74e-05,               8.74e-05,               8.74e-05
                     44,                0.93878,                 1.8196,                 1.3872,                 0.5731,                0.47258,                0.50874,                   0.36,                 1.0128,                 1.6849,                 1.4619,               8.71e-05,               8.71e-05,               8.71e-05
                     45,                0.94836,                 1.8225,                 1.3879,                0.54603,                0.49015,                0.51011,                 0.3555,                 1.0191,                 1.7093,                 1.4664,               8.68e-05,               8.68e-05,               8.68e-05
                     46,                 0.9515,                 1.8188,                 1.3936,                0.58237,                0.47288,                0.51329,                0.35786,                 1.0171,                 1.7032,                 1.4615,               8.65e-05,               8.65e-05,               8.65e-05
                     47,                0.95109,                 1.8193,                 1.3861,                0.58021,                0.48283,                0.52269,                0.36727,                 1.0103,                 1.6627,                 1.4552,               8.62e-05,               8.62e-05,               8.62e-05
                     48,                0.94048,                 1.7959,                 1.3767,                0.57187,                0.49504,                0.51923,                0.36628,                 1.0028,                 1.6742,                 1.4488,               8.59e-05,               8.59e-05,               8.59e-05
                     49,                 0.9317,                 1.7807,                 1.3814,                0.55122,                0.49706,                0.51566,                0.36451,                 1.0015,                 1.6925,                 1.4454,               8.56e-05,               8.56e-05,               8.56e-05
                     50,                0.93982,                 1.7906,                 1.3771,                0.56752,                0.50599,                0.52909,                0.37343,                0.99083,                 1.6586,                 1.4392,               8.53e-05,               8.53e-05,               8.53e-05
                     51,                0.93275,                 1.7696,                 1.3853,                0.57489,                0.50816,                0.53451,                0.37871,                0.99509,                 1.6534,                 1.4476,                8.5e-05,                8.5e-05,                8.5e-05
                     52,                0.93487,                 1.7682,                 1.3882,                0.58062,                0.50921,                0.53894,                 0.3801,                0.98536,                 1.6338,                 1.4385,               8.47e-05,               8.47e-05,               8.47e-05
                     53,                0.92428,                 1.7658,                 1.3689,                0.58915,                0.50597,                0.53977,                0.38095,                0.98823,                 1.6324,                 1.4389,               8.44e-05,               8.44e-05,               8.44e-05
                     54,                0.92386,                 1.7556,                 1.3799,                0.58394,                0.51361,                0.54039,                0.38304,                0.98751,                 1.6213,                 1.4313,               8.41e-05,               8.41e-05,               8.41e-05
                     55,                0.91666,                 1.7467,                 1.3653,                0.60869,                0.50267,                0.54102,                0.38525,                0.97911,                 1.6206,                 1.4287,               8.38e-05,               8.38e-05,               8.38e-05
                     56,                0.93503,                 1.7647,                 1.3777,                0.59669,                0.50772,                0.54568,                 0.3881,                0.98417,                 1.6278,                 1.4245,               8.35e-05,               8.35e-05,               8.35e-05
                     57,                0.92135,                 1.7365,                 1.3686,                0.58639,                0.50617,                0.54005,                0.38541,                0.98287,                 1.6205,                 1.4307,               8.32e-05,               8.32e-05,               8.32e-05
                     58,                0.91027,                 1.7407,                 1.3697,                0.58367,                0.51574,                0.54725,                0.39024,                0.97218,                 1.5851,                 1.4204,               8.29e-05,               8.29e-05,               8.29e-05
                     59,                 0.9226,                 1.7504,                  1.374,                0.59835,                0.50503,                0.54549,                 0.3915,                0.97509,                 1.6073,                 1.4284,               8.26e-05,               8.26e-05,               8.26e-05
                     60,                0.91289,                 1.7462,                 1.3754,                0.63966,                0.48668,                0.54886,                0.39321,                0.96909,                 1.5951,                 1.4227,               8.23e-05,               8.23e-05,               8.23e-05
                     61,                0.89784,                 1.7167,                 1.3661,                0.58911,                0.52167,                0.55482,                0.39945,                0.95685,                  1.577,                 1.4077,                8.2e-05,                8.2e-05,                8.2e-05
                     62,                0.91812,                 1.7244,                 1.3737,                0.60228,                0.49705,                0.54616,                0.39329,                0.95605,                  1.587,                 1.4123,               8.17e-05,               8.17e-05,               8.17e-05
                     63,                0.90675,                 1.7163,                 1.3629,                 0.5998,                0.50622,                0.55055,                0.39696,                0.95169,                 1.5812,                 1.4045,               8.14e-05,               8.14e-05,               8.14e-05
                     64,                0.91397,                 1.7155,                 1.3584,                0.59463,                0.50577,                 0.5558,                0.39961,                0.96871,                 1.5766,                 1.4156,               8.11e-05,               8.11e-05,               8.11e-05
                     65,                0.89252,                 1.6896,                 1.3524,                 0.6502,                0.48713,                0.55871,                0.40189,                0.95797,                 1.5683,                 1.4129,               8.08e-05,               8.08e-05,               8.08e-05
                     66,                0.90011,                 1.7073,                 1.3566,                0.63361,                 0.4974,                0.56393,                0.40635,                0.95211,                 1.5485,                 1.3999,               8.05e-05,               8.05e-05,               8.05e-05
                     67,                0.89908,                  1.699,                 1.3615,                0.63944,                0.50094,                0.56288,                0.40781,                 0.9539,                 1.5599,                 1.3985,               8.02e-05,               8.02e-05,               8.02e-05
                     68,                0.90899,                 1.7001,                 1.3582,                 0.6077,                0.52131,                0.56787,                0.40852,                0.95774,                 1.5536,                 1.4102,               7.99e-05,               7.99e-05,               7.99e-05
                     69,                0.89526,                 1.7062,                 1.3536,                0.63805,                0.51664,                0.57126,                0.41352,                0.95527,                 1.5312,                  1.402,               7.96e-05,               7.96e-05,               7.96e-05
                     70,                0.89292,                 1.6698,                 1.3414,                0.64019,                0.50005,                0.56426,                 0.4076,                0.95178,                 1.5494,                    1.4,               7.93e-05,               7.93e-05,               7.93e-05
                     71,                0.89523,                 1.6762,                 1.3552,                0.61805,                 0.5221,                0.57397,                0.41633,                0.94245,                  1.527,                  1.389,                7.9e-05,                7.9e-05,                7.9e-05
                     72,                0.89295,                 1.6784,                  1.359,                0.64566,                0.51451,                0.57637,                0.41913,                0.94073,                 1.5103,                 1.3883,               7.87e-05,               7.87e-05,               7.87e-05
                     73,                0.89049,                  1.661,                  1.338,                0.64215,                0.51737,                0.57307,                 0.4174,                0.94479,                 1.5279,                 1.3942,               7.84e-05,               7.84e-05,               7.84e-05
                     74,                0.88917,                 1.6615,                 1.3419,                0.64894,                0.51404,                0.57852,                0.42051,                0.94493,                  1.512,                 1.3923,               7.81e-05,               7.81e-05,               7.81e-05
                     75,                0.89025,                 1.6661,                  1.342,                 0.6316,                0.52393,                0.57589,                0.41833,                0.94472,                 1.5194,                 1.3926,               7.78e-05,               7.78e-05,               7.78e-05
                     76,                0.88518,                 1.6483,                 1.3431,                0.63427,                0.52545,                0.58141,                0.42524,                0.93113,                 1.5048,                 1.3806,               7.75e-05,               7.75e-05,               7.75e-05
                     77,                0.88129,                 1.6555,                 1.3403,                0.62847,                0.53242,                0.58287,                0.42639,                0.92755,                 1.5062,                 1.3769,               7.72e-05,               7.72e-05,               7.72e-05
                     78,                0.88431,                 1.6536,                 1.3377,                0.63985,                0.53026,                0.58089,                0.42378,                0.93522,                 1.5117,                 1.3814,               7.69e-05,               7.69e-05,               7.69e-05
                     79,                0.88584,                 1.6579,                 1.3407,                0.63014,                 0.5412,                0.59001,                0.43074,                0.92918,                 1.4982,                 1.3804,               7.66e-05,               7.66e-05,               7.66e-05
                     80,                0.87882,                 1.6471,                 1.3488,                0.64243,                0.53036,                0.58427,                0.42899,                0.92776,                 1.5031,                 1.3786,               7.63e-05,               7.63e-05,               7.63e-05
                     81,                0.88077,                  1.642,                 1.3389,                0.61996,                0.54261,                0.58799,                0.43328,                 0.9227,                 1.4888,                 1.3729,                7.6e-05,                7.6e-05,                7.6e-05
                     82,                0.87862,                 1.6426,                 1.3432,                 0.6134,                0.55163,                0.58671,                0.43152,                0.92677,                 1.4913,                 1.3766,               7.57e-05,               7.57e-05,               7.57e-05
