                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.58595,                0.81887,                 1.1267,                0.75903,                0.66853,                0.73828,                0.58539,                0.71748,                 1.0838,                 1.1957,               9.01e-05,               9.01e-05,               9.01e-05
                     35,                0.58747,                0.82683,                 1.1297,                 0.7581,                0.66741,                0.74161,                0.59696,                0.70709,                 1.0772,                  1.185,               8.98e-05,               8.98e-05,               8.98e-05
                     36,                0.58259,                0.80878,                 1.1229,                0.77987,                0.66358,                0.73743,                0.59309,                0.70144,                 1.0762,                 1.1737,               8.95e-05,               8.95e-05,               8.95e-05
                     37,                0.57906,                0.81244,                 1.1189,                0.73372,                 0.6757,                0.73196,                0.58553,                0.71059,                 1.1114,                 1.1936,               8.92e-05,               8.92e-05,               8.92e-05
                     38,                 0.5911,                0.83412,                  1.124,                0.74882,                0.65494,                0.72754,                0.58559,                0.70267,                 1.1028,                 1.1811,               8.89e-05,               8.89e-05,               8.89e-05
                     39,                0.58463,                0.81905,                 1.1236,                0.78935,                0.63101,                0.73468,                0.59246,                0.70185,                 1.1013,                 1.1863,               8.86e-05,               8.86e-05,               8.86e-05
                     40,                0.57344,                0.80095,                 1.1164,                0.74422,                0.67162,                0.73105,                0.59346,                0.69624,                 1.0712,                 1.1864,               8.83e-05,               8.83e-05,               8.83e-05
                     41,                0.58391,                0.81444,                  1.116,                0.75963,                0.66586,                0.73523,                0.59492,                0.71435,                 1.0786,                 1.1954,                8.8e-05,                8.8e-05,                8.8e-05
                     42,                0.58123,                0.80895,                 1.1184,                0.77651,                 0.6571,                0.73883,                0.59515,                0.70362,                 1.0557,                 1.1843,               8.77e-05,               8.77e-05,               8.77e-05
                     43,                0.57141,                 0.8053,                 1.1209,                0.76928,                0.65798,                 0.7346,                 0.5924,                0.69663,                 1.0754,                 1.1755,               8.74e-05,               8.74e-05,               8.74e-05
                     44,                0.56787,                0.78968,                 1.1128,                0.77569,                0.68212,                  0.752,                0.60681,                0.70411,                 1.0495,                 1.1881,               8.71e-05,               8.71e-05,               8.71e-05
                     45,                0.58116,                 0.7945,                 1.1148,                0.73218,                 0.6801,                0.73541,                0.59266,                0.69673,                  1.048,                 1.1718,               8.68e-05,               8.68e-05,               8.68e-05
                     46,                 0.5815,                0.79767,                 1.1187,                0.76784,                0.67085,                0.74218,                0.60236,                0.69808,                 1.0358,                 1.1759,               8.65e-05,               8.65e-05,               8.65e-05
                     47,                0.58206,                0.80301,                 1.1137,                0.75396,                0.66709,                0.73911,                0.59748,                0.69788,                 1.0751,                  1.178,               8.62e-05,               8.62e-05,               8.62e-05
                     48,                0.57914,                0.78966,                  1.111,                0.76066,                0.66258,                0.73705,                0.59829,                0.69925,                 1.0705,                 1.1858,               8.59e-05,               8.59e-05,               8.59e-05
                     49,                0.57125,                0.77432,                 1.1117,                0.77375,                0.66391,                0.74509,                0.60137,                0.69561,                 1.0593,                 1.1755,               8.56e-05,               8.56e-05,               8.56e-05
                     50,                0.57371,                0.78737,                 1.1085,                 0.7276,                0.70368,                0.74776,                0.60755,                0.69801,                 1.0673,                 1.1778,               8.53e-05,               8.53e-05,               8.53e-05
                     51,                0.57996,                0.78239,                 1.1201,                0.78183,                 0.6485,                0.73422,                0.59244,                 0.7024,                 1.0721,                 1.1837,                8.5e-05,                8.5e-05,                8.5e-05
                     52,                0.57588,                0.79065,                 1.1193,                0.74696,                0.66139,                0.73579,                0.59542,                0.70364,                 1.0893,                 1.1873,               8.47e-05,               8.47e-05,               8.47e-05
                     53,                0.57345,                0.77856,                 1.1106,                 0.7646,                0.65176,                0.73176,                0.59243,                0.70483,                 1.0942,                 1.1894,               8.44e-05,               8.44e-05,               8.44e-05
                     54,                 0.5717,                0.78046,                 1.1138,                0.78358,                0.64611,                0.73907,                0.60091,                 0.7036,                 1.0726,                  1.188,               8.41e-05,               8.41e-05,               8.41e-05
